,Band,Song,Player,Technique,Difficulty,Score
3852,Ed Sheeran Ft. Bring Me The Horizon,Bad Habits,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
3853,Muth,Kirisute Gomen (Drop A Alt. Arrange),Rhythm,['Distortion Guitar'],Intermediate,3/8
3854,Jinjer,Sleep Of The Righteous,,['Distortion Guitar'],Intermediate,3/8
3855,Jinjer,Pearls And Swine,,['Overdriven Guitar'],Intermediate,3/8
3856,Spiten Dich,track12,Track 2,['Distortion Guitar'],Intermediate,3/8
3857,Slipknot,Skin Ticket (IOWA),,"['Distortion Guitar', 'Mick #7 (Guitar 1)']",Intermediate,3/8
3858,Bad Omens,Like A Villain,,['Distortion Guitar'],Intermediate,3/8
3859,Draft Shit,tththtthth,,['Distortion Guitar 1'],Intermediate,3/8
3860,The Amity Affliction,Coffin,Dan Brown Distortion,['Distortion Guitar'],Intermediate,3/8
3861,Lorna Shore,To the Hellfire (6-strings) Clean,Track 1,['Electric Guitar (clean)'],Intermediate,3/8
3862,Lorna Shore,To the Hellfire (6-strings),Track 1,['Distortion Guitar'],Intermediate,3/8
3863,Bautek,cebula,Bartek,['Distortion Guitar'],Intermediate,3/8
3864,Eeveelyn,Flesh Sarcophagus,,['Distortion Guitar 2'],Advanced,6/8
3865,Eeveelyn,Christ-Like Mutilation,,['Distortion Guitar 1'],Intermediate,4/8
3866,Eeveelyn,Rebirth of Repentia,,['Distortion Guitar 1'],Intermediate,4/8
3867,Creatures Of Furkahn,Knife,,"['Electric Guitar (clean)', 'Clean Guitar']",Intermediate,3/8
3868,The North Star,Suicidal tendencies in spite of everything,,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,4/8
3869,Slipknot,Psychosocial (Studio Version),Jim Root (Solo),['Distortion Guitar'],Intermediate,4/8
3870,Bullet For My Valentine,Shatter (Drop A),,"['Distortion Guitar', 'Michael (Lead Guitar)']",Intermediate,3/8
3871,Aborted,Vespertine Decay,Lead C Add 9,['Distortion Guitar'],Intermediate,5/8
3872,Gutalax,Sucking A Cock Of A Vietnam Veteran,,['Distortion Guitar'],Intermediate,3/8
3873,Aa,bb,Borys Sternal,['Distortion Guitar'],Intermediate,3/8
3874,Zgg,xvvx,Fellipe,"['Guitarra', 'Overdriven Guitar']",Intermediate,3/8
3875,Fajberbrzdonc,fajberbrzdonc,,"['Distortion Guitar', 'E.Guitar II (Right)']",Intermediate,3/8
3876,Lm,Last XMas,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
3877,Bkmz,finale,,['Distortion Guitar 2'],Intermediate,3/8
3878,Menel,BREAKDOWN ALE MENTALNY,Utwór 1,['Distortion Guitar'],Intermediate,5/8
3879,Gazette,Hold,URUHA,['Distortion Guitar'],Intermediate,4/8
3880,Pray For Humanity,Purge,Lead,['Distortion Guitar'],Intermediate,3/8
3881,Salt Licker,Pruning,,['Overdriven Guitar 2'],Intermediate,4/8
3882,Salt Licker,Grind-y Song (Working Title),,"['Distortion Guitar', 'Guitar L']",Intermediate,4/8
3883,Pray For Humanity,Epitaphes,Lead,['Distortion Guitar 2'],Advanced,7/8
3884,Korn,Here to Stay (6-String),Head (Clean Lead),['Electric Guitar (clean)'],Intermediate,3/8
3885,Priv.Acc.G.C,beggdan,Roman (solo),['Electric Guitar (jazz)'],Intermediate,5/8
3886,Slaughter To Prevail,Head On A Plate VER 2 (SOLO For 6-Strings),Track 1,['Distortion Guitar'],Intermediate,3/8
3887,Slaughter To Prevail,Head On A Plate VER 1(SOLO for 6-strings),Track 1,['Distortion Guitar'],Intermediate,3/8
3888,Bautek,cerberos,bartek,['Distortion Guitar'],Intermediate,3/8
3889,Me,Splinter in the Eye,,"['Distortion Guitar', 'Distortion Guitar R']",Intermediate,3/8
3890,Veil Of Maya,Mikasa (Drop A),Marc Okubo (Rhythm),['Distortion Guitar'],Intermediate,4/8
3891,Cameron Riggenbach,1,,"['Distortion Guitar', 'Electric Guitar (Distortion)']",Intermediate,3/8
3892,Galendwagen,90-60-90,,['Distortion Guitar 3'],Intermediate,4/8
3893,Slipknot,New Abortion (Guitars only),Mick Thomson (#7),['Distortion Guitar'],Intermediate,4/8
3894,Galendwagen,Demo #2,,['Distortion Guitar 1'],Intermediate,3/8
3895,Galendwagen,Drop A Demo,,['Distortion Guitar 1'],Intermediate,4/8
3896,Slipknot,The Heretic Anthem (Guitars only),Jim Root (#4),['Distortion Guitar'],Intermediate,3/8
3897,Slipknot,Everything Ends (Guitars only),Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
3898,Creatures Of Furkahn,Reptiles,Fuzz,['Distortion Guitar'],Intermediate,3/8
3899,Creatures Of Furkahn,Heart,Ritim,['Distortion Guitar'],Intermediate,3/8
3900,Caliban,nebeL,,['Distortion Guitar 1'],Intermediate,3/8
3901,Jinjer,As I Boil Ice,,['Distortion Guitar'],Intermediate,3/8
3902,Jinjer,Dip A Sail,Roman (double),['Distortion Guitar'],Intermediate,3/8
3903,Jinjer,Copycat,,['Distortion Guitar'],Intermediate,4/8
3904,Jinjer,Disclosure,,['Distortion Guitar'],Intermediate,4/8
3905,Jinjer,Mediator,,['Distortion Guitar'],Intermediate,5/8
3906,Jinjer,Vortex,,['Overdriven Guitar'],Intermediate,3/8
3907,Jinjer,Call Me A Symbol,,['Distortion Guitar'],Intermediate,5/8
3908,Dadaroma,Risley Circus,,"['Distortion Guitar', 'Right Guitar']",Intermediate,3/8
3909,Matheus Miranda,psychosocial 90,James Root #4,['Distortion Guitar'],Intermediate,4/8
3910,Bautek,bautek,Utwór 2,['Distortion Guitar'],Intermediate,3/8
3911,Eskimo Callboy,gtp,Track 2,['Acoustic Guitar (steel)'],Intermediate,3/8
3912,Cameron Riggenbach,Test 3,,"['Distortion Guitar', 'Left Guitar']",Intermediate,3/8
3913,Slipknot,My Plague (Guitars only),Mick Thomson (#7),['Distortion Guitar'],Intermediate,3/8
3914,Creatures Of Furkahn,White Shaman,Fuzz,['Distortion Guitar'],Intermediate,3/8
3915,Akame Ga Kill!,Adramelech,,"['Distortion Guitar', 'Rhythm Guitar ']",Intermediate,3/8
3916,Slipknot,Psychosocial Solo Standart Tuning,,"['Distortion Guitar', 'RYTHM Guitar']",Intermediate,3/8
3917,Creatures Of Furkahn,Creature 3,Ritim,['Distortion Guitar'],Intermediate,3/8
3918,Creatures Of Furkahn,Swamp,Leslie,['Electric Guitar (jazz)'],Intermediate,3/8
3919,Creatures Of Furkahn,Disease,Leslie,['Overdriven Guitar'],Intermediate,3/8
3920,Creatures Of Furkahn,Kanapur Theme,Ekstra,['Acoustic Guitar (steel)'],Intermediate,3/8
3921,Zombienesa,proyecto 2,Pista 4,['Distortion Guitar'],Intermediate,3/8
3922,Of Mice And Men,Bloom,Lead,['Overdriven Guitar'],Intermediate,3/8
3923,Knocked Loose,Belleville,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
3924,Leo,Bad Habits,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
3925,Furkahn,08 - Kalp/Heart,Ritim,['Distortion Guitar'],Intermediate,3/8
3926,Jinjer,Wallflower,,"['Distortion Guitar', 'Dist Guitar']",Intermediate,3/8
3927,Amaranthe,Viral,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
3928,Ice Nine Kills,Rainy Day,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
3929,Me,Killswitch,,"['Distortion Guitar', 'Distortion Guitar R']",Intermediate,3/8
3930,Me,Lucidity In My Name,,"['Electric Guitar (clean)', 'Clean Guitar R']",Intermediate,3/8
3931,Me,SIN,,"['Distortion Guitar', 'Distortion Guitar R']",Intermediate,3/8
3932,Tetrarch,Negative Noise,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
3933,Ingested,The Diving Right of Kings,,"['Distortion Guitar', 'Guitar 1']",Intermediate,5/8
3934,Gentle Men,Your Boyfriend Doesn't Scare Me (ft. Kmac2021),,"['Distortion Guitar', 'L Guitar']",Intermediate,3/8
3935,Orbit Culture,Flight of the Fireflies,Lead,['Overdriven Guitar'],Intermediate,4/8
3936,Slipknot,Everything Ends (IOWA),,"['Distortion Guitar', 'Jim #4 (Guitar 1)']",Intermediate,3/8
3937,Pacifist,Lost,Track 2,['Distortion Guitar'],Intermediate,3/8
3938,Bautek,adam pisze piosenki,Qooba,['Distortion Guitar'],Intermediate,4/8
3939,Jinjer,Captain Clock,GUITAR LEFT,['Distortion Guitar'],Advanced,6/8
3940,Damageplan,Fuck You,Dime Rhythm,['Distortion Guitar'],Intermediate,3/8
3941,Emetocropoklismanecropedoeproctophile,Forbidden Love,deszSKLSOLcz,['Distortion Guitar'],Beginner,2/8
3942,Katatonia,Rein,,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
3943,Katatonia,Heart Set to Divide,,"['Distortion Guitar', 'Guitar 3']",Intermediate,3/8
3944,Bring Me The Horizon,sTraNgeRs (Chorus),,"['Distortion Guitar', 'Rhythm Guitar 2']",Intermediate,3/8
3945,Skeletorus,Fahrenheit 451,Rhythm,['Distortion Guitar'],Intermediate,3/8
3946,Fit For A King,asggadsagdgasaaaaaaaaaA,Track 1,['Distortion Guitar'],Intermediate,3/8
3947,My Enemies & I,Stripe,,"['Overdriven Guitar', 'Rhythm Guitar O.D.']",Beginner,2/8
3948,Blood Laced Misery,Untitled 31,,['Distortion Guitar 3'],Intermediate,3/8
3949,The Raven Age,Grave of The Fireflies,Clean Rhythm,['Electric Guitar (clean)'],Beginner,2/8
3950,Leaftrace,zhivoy,,"['Distortion Guitar', 'Guitar Rhytm']",Beginner,2/8
3951,My Enemies And I,Carbon Copy,,"['Distortion Guitar', 'Lead Guitar 1']",Beginner,2/8
3952,Fractal Eater,A Bleak Exercise in Time Theft,,"['Electric Guitar (clean)', 'Clean Guitar']",Beginner,2/8
3953,Bring Me The Horizon,Can You Feel my Heart - Live,John Jones,['Distortion Guitar'],Beginner,2/8
3954,Bring Me The Horizon,Can You Feel My Heart (Live),John Jones,['Distortion Guitar'],Beginner,2/8
3955,Dogeplaysguitar,Teardrops (BMTH Cover),,"['Distortion Guitar', 'DogePlaysGuitar']",Beginner,2/8
3956,Codomo Dragon,make inu,,['Distortion Guitar'],Intermediate,3/8
3957,Tsubaki,Disconnection,,['Distortion Guitar 1'],Intermediate,3/8
3958,Shredagge,When All Light Dies,,"['Distortion Guitar 1', 'Overdriven Guitar']",Intermediate,4/8
3959,Fit For A King,Reaper,,['Distortion Guitar'],Intermediate,3/8
3960,The Gazette,THE PALE,URUHA,['Distortion Guitar'],Intermediate,3/8
3961,Testing,wamereded,Pat,"['Guitar', 'Distortion Guitar']",Intermediate,4/8
3962,Gazette,The Pale,URUHA Clean,['Electric Guitar (clean)'],Intermediate,3/8
3963,Like Moths To Flames,New Plagues,Right,['Distortion Guitar'],Intermediate,3/8
3964,Like Moths To Flames,The Blackout,Right Rhythm,['Distortion Guitar'],Beginner,2/8
3965,Like Moths To Flames,Do Not Resuscitate,,['Distortion Guitar'],Intermediate,3/8
3966,Like Moths To Flames,You'll Burn,,['Distortion Guitar'],Beginner,2/8
3967,Like Moths To Flames,Habitual Decline,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
3968,Like Moths To Flames,A Servant Of Plague,Rhythm,['Overdriven Guitar'],Intermediate,4/8
3969,Like Moths To Flames,Praise Feeder,Track 1,['Distortion Guitar'],Beginner,2/8
3970,Like Moths To Flames,What's Done Is Done,Track 1,['Distortion Guitar'],Intermediate,3/8
3971,Abstract Dissonance,Eternal Torment,,['Distortion Guitar'],Intermediate,5/8
3972,In Flames,(This Is Our) House,Bjorn,['Distortion Guitar'],Beginner,2/8
3973,Black Winter,Callous,Track 3,['Distortion Guitar'],Advanced,8/8
3974,Black Winter,Slip,Track 3,['Distortion Guitar'],Advanced,8/8
3975,I Prevail,Chaos,,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
3976,Alloytuber,Aftermath Of The Afterlife,Rhythm (left),['Distortion Guitar'],Intermediate,3/8
3977,Wind Rose,Gates Of Ekrund,Claudio Falconcini,['Distortion Guitar'],Beginner,2/8
3978,Asking Alexandria,Alone Again,Track 1,['Distortion Guitar'],Intermediate,3/8
3979,Glint,test 1,Track 1,['Distortion Guitar 1'],Intermediate,4/8
3980,Nurié,seiten ni hoeru,,['Distortion Guitar'],Intermediate,3/8
3981,Eonia,At The End Of Your Life,LABS (64 Bit),['Electric Guitar (clean) 1'],Intermediate,3/8
3982,Fredguitarist,Collection of Riffs by Fred,Fred (Baritone A#),['Distortion Guitar'],Intermediate,4/8
3983,Deathkite,Survival of the Cruelest,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
3984,Parasitic Ejaculation,Slow Torture Chamber,,['Distortion Guitar 2'],Intermediate,4/8
3985,Motionless In White,Headache,"Ricky ""Horror"" Olson","['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
3986,In Flames,Burn,,"['Distortion Guitar', 'Rythm Guitar']",Intermediate,4/8
3987,Ben Mason,Synth Solo,,['Distortion Guitar 2'],Intermediate,3/8
3988,Portrayal Of Guilt,The Sixth Circle,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
3989,Long Term Memory,Scorn,Track 1,['Distortion Guitar'],Intermediate,3/8
3990,Out Of My Eyes,GOLDON,,['Distortion Guitar'],Intermediate,3/8
3991,Out Of My Eyes,Blue Cloud,,"['Distortion Guitar', 'Distortion Rythm 2 Guitar']",Intermediate,3/8
3992,Bullet For My Valentine,The Poison But Lower And More Lead,Zweite Stimme,['Distortion Guitar'],Intermediate,3/8
3993,Tbt,Selfish Creatures,Rhythm,['Distortion Guitar'],Intermediate,3/8
3994,Like Moths To Flame,Ameliorate,,['Distortion Guitar'],Intermediate,4/8
3995,Skeletorus,The Storm Of Shards,Lead,['Distortion Guitar'],Intermediate,4/8
3996,Forged In Ice,Alloy_TUBER,,['Distortion Guitar 2'],Intermediate,3/8
3997,We Came As Romans,Black Hole,Track 1,['Distortion Guitar'],Intermediate,3/8
3998,Silverstein,Ultraviolet,LEAD GTR 2,['Overdriven Guitar'],Intermediate,3/8
3999,Razor,akaku chirabaru hana,,['Distortion Guitar'],Intermediate,3/8
4000,Acid Bath,Venus Blue (WIP),Track 2,['Distortion Guitar'],Intermediate,3/8
4001,Draft Shit,shit,,['Distortion Guitar 1'],Intermediate,3/8
4002,To The Garve,The Screams of the widow's Son,Pista 1,['Distortion Guitar'],Intermediate,3/8
4003,Ismail,Of Flesh,Dan,['Electric Guitar (clean)'],Intermediate,3/8
4004,.44 Caliber Love Letter,Idea#1,Pasha Rhythm,['Distortion Guitar'],Advanced,8/8
4005,Gazette,DAKU,URUHA,['Distortion Guitar'],Intermediate,3/8
4006,Coldrain,See You,gtr rhy,['Distortion Guitar'],Intermediate,3/8
4007,Static-X,Set It Off,Wayne Static,['Distortion Guitar'],Intermediate,3/8
4008,Bring Me The Horizon,Can You Feel my Heart (drop A#),John Jones,['Distortion Guitar'],Beginner,2/8
4009,My Anarchist Angel,nya?,,['Distortion Guitar 2'],Intermediate,3/8
4010,Falling In Reverse,Zombified,Rhythm R,['Distortion Guitar'],Intermediate,3/8
4011,Ingvar,The Ghost Of Kyiv,,['Distortion Guitar 2'],Intermediate,3/8
4012,Hypocrisy,Chemical Whore,,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
4013,Corprus,Diseased,Track 1,['Distortion Guitar'],Intermediate,3/8
4014,Corprus,Witch Eater,Track 1,['Distortion Guitar'],Intermediate,3/8
4015,Anal Destroyer,SLAM,,['Distortion Guitar'],Intermediate,5/8
4016,Muth,Aeons Black (Drop A#),Daniel Dlimi,['Distortion Guitar'],Intermediate,5/8
4017,Hypocrisy,Children Of The Gray,,['Distortion Guitar'],Intermediate,3/8
4018,Hua,sass,,"['Distortion Guitar', 'Rhythm Guitar ']",Intermediate,4/8
4019,Bad Omens,Glass Houses,,['Distortion Guitar'],Intermediate,3/8
4020,Ben Mason,No Right,,"['Distortion Guitar', 'Guitar R']",Intermediate,3/8
4021,Gh,asas,,"['Electric Guitar (clean)', 'Clean Guitar']",Intermediate,4/8
4022,Gh,fgh,Federico Zuccarelli,['Distortion Guitar'],Intermediate,4/8
4023,Toadstool,Riff 1,,['Distortion Guitar'],Intermediate,4/8
4024,Soi,DIEKATAKOMBEN,,"['Overdriven Guitar', 'Guitar 2']",Advanced,7/8
4025,Soi,DERHORRORMITTENDRIN,,"['Distortion Guitar', 'Guitar 3']",Intermediate,3/8
4026,Soi,DIERÜCKKEHR,,"['Distortion Guitar', 'Guitar 1']",Advanced,8/8
4027,Soi,WIRSTEIGENAB,,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8
4028,Destruction Of The Healer,Obsessed,Right Clean,['Electric Guitar (clean)'],Intermediate,4/8
4029,34yh34,h34h34h3,Track 1,['Distortion Guitar 2'],Intermediate,3/8
4030,Attack On Titan,The Rubmling - Attack on Titan Final Season Part 2,Lead,['Electric Guitar (clean)'],Intermediate,3/8
4031,J7y5yh5,645hb675hn,Track 1,['Distortion Guitar'],Intermediate,3/8
4032,Grg4g4g34,34gg343g443g,Track 1,['Acoustic Guitar (nylon)'],Intermediate,4/8
4033,G323g24g23,g3g32g3g3g,Track 1,['Distortion Guitar 1'],Intermediate,4/8
4034,Bt4g53g,g43g344g3,Track 1,['Distortion Guitar 2'],Intermediate,4/8
4035,4f34f34f3f434f,34f34f34f3f4f3f43f43f4,Track 2,['Distortion Guitar'],Intermediate,3/8
4036,32t4tg4g34g3,g3434g34g34g34g34g,Track 2,['Distortion Guitar'],Intermediate,3/8
4037,6g346g346g,346g34g6346g34,Track 1,['Distortion Guitar'],Intermediate,4/8
4038,Bb1b5121b251,25b125b255b125b,Track 2,['Distortion Guitar'],Intermediate,3/8
4039,G345g465h546h,1241241241241241242g23g23g1,Track 2,['Distortion Guitar'],Intermediate,3/8
4040,5 B1212,5b125b12b512,Track 1,['Distortion Guitar'],Intermediate,4/8
4041,24b1n251,2b512b512b5,Track 1,['Distortion Guitar'],Intermediate,4/8
4042,82398v1283vu12803v12,v41309uv09u,Track 1,['Distortion Guitar'],Intermediate,4/8
4043,Guitar Riff Ideas,Drop A# Riff Ideas,,['Distortion Guitar'],Intermediate,5/8
4044,For All I Want,Recuerdos de una Noche,,"['Overdriven Guitar', 'Guitarra II']",Beginner,2/8
4045,Mud Creek,Tear Me Down,,['Distortion Guitar 1'],Intermediate,3/8
4046,Wage War,Death Roll,,['Distortion Guitar'],Intermediate,4/8
4047,Breaking Benjamin,Feed the Wolf,,"['Electric Guitar (clean)', 'Rhythm Guitar']",Intermediate,3/8
4048,Northlane,Impulse,,['Electric Guitar (clean)'],Intermediate,3/8
4049,The Gentle Men,I Am Truth,,"['Distortion Guitar', 'Left Guitar']",Intermediate,3/8
4050,"Tom Morello, Bring Me The Horizon",Let's Get The Party Started,,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
4051,Fng,Embryo Cytoplasmic Fragmentation,,['Distortion Guitar'],Intermediate,3/8
4052,From Ashes To New,Panic,,['Distortion Guitar'],Intermediate,3/8
4053,Sangheilis,Le fendoir3,Math,['Distortion Guitar'],Intermediate,3/8
4054,Crystal Lake,Into the Great Beyond,Clean Rhythm,['Acoustic Guitar (steel)'],Intermediate,3/8
4055,Sangheilis,Le fendoir2,Math,['Distortion Guitar'],Intermediate,3/8
4056,We Hunt Buffalo,Heavy Low,,['Overdriven Guitar 2'],Intermediate,3/8
4057,Sangheilis,Fend,Math,['Distortion Guitar'],Intermediate,3/8
4058,Sangheilis,The death lord,Guit 1,['Distortion Guitar 2'],Intermediate,3/8
4059,Sangheilis,Wololo,Piste 4,['Guitar harmonics 3'],Intermediate,4/8
4060,Tbt,Time,Lead,['Distortion Guitar'],Intermediate,3/8
4061,Gazette,ROLLIN',URUHA Crunch,['Overdriven Guitar'],Intermediate,3/8
4062,Efe Karatoprak,Grindcore Song #1,,['Distortion Guitar'],Intermediate,3/8
4063,Anakinkindadumb,my goodbyes,Track 1,['Distortion Guitar 1'],Intermediate,3/8
4064,Destruction Of The Healer,Crocodile Tears,,['Distortion Guitar 1'],Intermediate,3/8
4065,Metallica,FULL METALLICA MEDLEY,,"['Distortion Guitar', 'Drop A# Guitar']",Intermediate,4/8
4066,Parkway Drive,Set To Destroy (1),Jeff Ling,['Acoustic Guitar (steel)'],Intermediate,4/8
4067,Kira,retardedidea,Track 1,['Distortion Guitar'],Advanced,8/8
4068,Tsubaki,Flandre Will Be None,Lead,['Distortion Guitar 1'],Intermediate,4/8
4069,We Came As Romans,wasted age,,"['Overdriven Guitar 2', 'Rhythm Guitar']",Intermediate,3/8
4070,Like Moths To Flames,The Anatomy Of Evil,Intro,['Distortion Guitar'],Intermediate,4/8
4071,Bac,gbac,Rhythm 2,['Distortion Guitar'],Intermediate,3/8
4072,Gliese,Origen,Juan Clean,['Electric Guitar (clean)'],Intermediate,3/8
4073,Beartooth,Burnout,LEAD,['Distortion Guitar'],Beginner,2/8
4074,Shadow Of Intent,The Heretic Prevails (2nd Version),Chris Wiseman,['Distortion Guitar'],Intermediate,4/8
4075,Hands Down,Hardships,Track 4,['Distortion Guitar'],Intermediate,4/8
4076,Eonia,Paths,Right,['Distortion Guitar'],Intermediate,3/8
4077,August Burns Red,Three Fountains,,"['Electric Guitar (clean)', 'Guitar 1']",Intermediate,3/8
4078,August Burns Red,Ties That Bind,,"['Electric Guitar (clean)', 'Guitar 4']",Intermediate,3/8
4079,August Burns Red,Dismembered Memory,,"['Electric Guitar (clean)', 'Guitar 4']",Beginner,2/8
4080,August Burns Red,Bones,,"['Electric Guitar (clean)', 'Guitar 3']",Intermediate,3/8
4081,August Burns Red,Empty Heaven,,"['Electric Guitar (clean)', 'Guitar 2']",Intermediate,4/8
4082,Pendulum,self vs self v3,Raita 1,['Distortion Guitar'],Intermediate,3/8
4083,Eonia,Loss,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,4/8
4084,Dezert,Sister,,['Distortion Guitar'],Intermediate,3/8
4085,Eonia,Intro,Clean,['Distortion Guitar'],Intermediate,3/8
4086,Eonia,In Memoriam,,['Distortion Guitar 4'],Intermediate,3/8
4087,Eonia,Recollection,Harmony/Lofi,['Distortion Guitar'],Advanced,7/8
4088,The Raven Age,No mans land solo,Harmony,['Overdriven Guitar'],Intermediate,4/8
4089,Justice For The Damned,"No Brother, No Friend",Pitch Shift Gtr,['Distortion Guitar'],Intermediate,3/8
4090,Eonia,Departure,Harmony,['Distortion Guitar'],Intermediate,4/8
4091,Cbp,2077,,['Distortion Guitar'],Advanced,7/8
4092,Shinigiwa Satellite,Kousei Salvation,RHYTHM,['Distortion Guitar'],Intermediate,3/8
4093,Powerwolf,Sermon of Swords,,"['Distortion Guitar', 'Rhythm Guitar']",Beginner,2/8
4094,Paraphrase,Maladaptive,,['Distortion Guitar 2'],Intermediate,3/8
4095,Destruction Of The Healer,Sacrifice,Clean Left,['Electric Guitar (clean)'],Intermediate,3/8
4096,Bring Me The Horizon,Evolution of BMTH Breakdowns,,"['Distortion Guitar', 'Drop A# Guitar']",Intermediate,4/8
4097,Muth,иινу a#,mike hunt,['Distortion Guitar'],Intermediate,4/8
4098,Afsa Fasf,as fasf asfas,Track 1,['Distortion Guitar'],Intermediate,3/8
4099,Bogg,Wicked Riffages 2 - Skyline,Distortion 2,['Distortion Guitar'],Intermediate,3/8
4100,Muth,a living sharp dead,rhythm,['Distortion Guitar 2'],Intermediate,3/8
